ind type/C     gas/C g1 g2 wsci wche lsci lche asci ache ths tht th6 th7 th8 th0 th1 dd mts/C mss/C ms/C cu1 cu2 cd1 cd2 su1 su2 sd1 sd2 eu1 eu2 ed1 ed2 t1 t2 n1 n2 ch st mt
20  material   isobutane 2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Steel Steel Lead 682.805 1457.74 4273.65 2189.18 760.674 3376.33 1538.15 2738.36 0.482468 1.70874 1.33297 1.54104 140.858 92.817 609.671 391.831 0.385426          	12.673 7.506
21  material   isobutane 2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Steel Steel Tungsten 637.561 1527.95 3796.98 2143.51 735.237 3316.91 1411.55 2691.69 0.457014 1.62411 1.21456 1.48245 116.626 74.1204 601.746 388.001 0.378422     	12.856 7.301
22  other      isobutane 0 0 90 90 300 300 10 16.5 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 715.245 1383.65 4867.97 2251.58 784.424 3320.44 1565.86 2720.8 0.498137 1.6373 1.30948 1.54523 186.502 117.813 609.704 390.46 0.397654  	13.144 8.602
23  other      isobutane 0 0 90 90 300 300 10 16.5 5 5 5 1 4 8 1 35 Aluminium Aluminium Lead 725.306 1400.98 5022.84 2311.15 790.472 3299.89 1667.04 2776.75 0.516143 1.63565 1.38355 1.56233 218.604 146.484 610.145 391.672 0.382637     13.27 8.618
24  other      isobutane 0 0 90 90 300 300 10 16.5 4 4 5 1 4 8 2 35 Aluminium Aluminium Lead 703.862 1380.67 4899.39 2223.85 790.949 3318.45 1660.15 2780.23 0.511302 1.6503 1.38194 1.56772 214.547 141.212 609.978 390.962 0.380867      13.113 8.668
25  other      isobutane 0 0 90 90 300 300 10 16.5 4 4 5 1 6 8 1 35 Aluminium Aluminium Lead 729.67 1416.75 5114.07 2342.34 799.662 3325.52 1648.48 2758.91 0.525169 1.65438 1.38287 1.55932 196.094 118.758 612.328 391.92 0.385276       13.17 8.543
26  other      isobutane 0 0 90 90 300 300 10 16.5 4 4 5 1 4 11 1 35 Aluminium Aluminium Lead 678.061 1299.94 4725.92 2185.58 761.196 3256.16 1554.58 2712.16 0.512607 1.60485 1.30177 1.53042 193.309 119.272 609.614 392.786 0.400035  	12.862 8.416
27  other      isobutane 0 0 90 90 300 300 10 16.5 3 3 5 3 3 8 1 35 Aluminium Aluminium Lead 738.863 1412.42 5228.97 2362.56 792.18 3320.34 1684.65 2789.71 0.528357 1.64868 1.38283 1.56174 199.388 135.482 611.728 391.447 0.392003      13.259 8.705
28  other      isobutane 0 0 90 90 300 300 10 16.5 2 2 5 2 2 8 1 35 Steel Steel Lead 749.944 1535.57 5103.63 2409.18 802.908 3407.6 1705.06 2848.72 0.527903 1.73311 1.40199 1.61393 193.906 124.245 612.451 392.059 0.383908              12.711 7.999
0   clear      ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
1   clear      ethane    2 2 90 90 300 300 11 18 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 730.405 1379.85 4855.25 2273.1 791.8 3305.3 1607.16 2743.48 0.503327 1.64824 1.34845 1.57827 234.383 158.589 1038.05 721.341 0.877517       	13.191 8.409
2   clear      ethane    0 0 90 90 300 300 10 16.5 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 717.475 1386.05 4870.61 2276.27 787.943 3304.3 1573.91 2720.43 0.508801 1.63808 1.30868 1.54046 164.937 107.708 1036.04 719.196 0.875661  	13.142 8.538
3   ths+tht    ethane    2 2 90 90 300 300 13 20 4 4 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 733.971 1374.31 4969.3 2335.52 803.196 3323.22 1631.17 2738.96 0.511978 1.65552 1.39861 1.57954 231.626 140.781 1038 721.407 0.848639       	13.119 8.499
4   ths+tht    ethane    2 2 90 90 300 300 13 20 5 5 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 724.356 1379.61 4856.71 2304.09 800.4 3314.26 1633.21 2746.04 0.519406 1.66582 1.39389 1.56568 184.905 116.514 1039.35 724.287 0.861235     	12.884 8.44
5   ths+tht    ethane    2 2 90 90 300 300 13 20 6 6 0.1 0.1 8 8 1 35 Aluminium Aluminium Lead 712.559 1365.42 4760.76 2259.18 788.775 3296.93 1635.15 2759.82 0.510725 1.65649 1.39772 1.58583 233.057 148.129 1037.71 721.234 0.86995    	13.215 8.375
